count,free,total,used,sm_efficiency,achieved_occupancy,ipc,issued_ipc,issue_slot_utilization,gld_requested_throughput,gst_requested_throughput,gld_throughput,gst_throughput,tex_cache_throughput,tex_fu_utilization,single_precision_fu_utilization,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,stall_other,stall_constant_memory_dependency,stall_pipe_busy,stall_memory_throttle,stall_not_selected,l2_read_transactions,l2_tex_read_throughput,l2_tex_write_throughput,l2_read_throughput,l2_write_throughput,dram_utilization,eligible_warps_per_cycle,website
1,1993445376,4148273152,2154827776,48.033333,0.459675,0.782147,0.843882,20.317460,239630258,119815129,239630258,119815129,239630258,3,2,6.259230,13.570709,41.523072,8.035286,27.682825,0.311953,1.552408,1.165130,287,239630258,119815129,268647984,125431463,1,1.139979,none
2,1974923264,4148273152,2173349888,37.564459,0.459043,0.755647,0.849257,20.295983,239630258,119815129,239630258,119815129,239630258,2,2,6.174766,13.706490,40.804269,8.261298,28.165434,0.318339,1.504271,1.163055,287,239630258,119815129,268647984,125431463,1,1.134249,none
3,1974800384,4148273152,2173472768,37.659236,0.459868,0.776371,0.842993,20.062696,239630258,119815129,239630258,119815129,239630258,3,2,6.242465,13.935820,40.517013,8.248048,29.325926,0.311858,1.612842,1.172427,287,239630258,119815129,268647984,125431463,1,1.138004,none
4,1956069376,4148273152,2192203776,47.259358,0.474046,0.529878,0.844773,12.885906,239630258,119815129,239630258,119815129,239630258,3,1,37.327131,8.828812,30.904446,9.639217,27.688907,0.207500,0.944749,1.067332,317,239630258,119815129,315450769,125431463,10,0.771223,none
5,1956118528,4148273152,2192154624,47.155840,0.460144,0.781316,0.839454,20.231823,239630258,119815129,239630258,119815129,239630258,2,2,6.271116,13.866748,40.483249,5.450671,19.319125,0.312618,0.887877,0.787942,317,239630258,119815129,296729655,125431463,3,1.127101,none
6,1956118528,4148273152,2192154624,47.208292,0.459788,0.776371,0.843882,20.210526,239630258,119815129,239630258,119815129,239630258,3,2,6.337706,13.420397,41.047870,8.311084,28.062116,0.317400,1.483757,1.164599,287,239630258,119815129,268647984,125431463,1,1.131857,none
7,1956134912,4148273152,2192138240,38.004751,0.459699,0.781316,0.845666,20.338983,239630258,119815129,239630258,119815129,239630258,3,2,6.268442,14.007294,40.730625,8.241488,27.489874,0.311657,1.523702,1.176873,287,239630258,119815129,268647984,125431463,1,1.141039,none
8,1956151296,4148273152,2192121856,38.767551,0.459302,0.772298,0.848356,20.210526,239630258,119815129,239630258,119815129,239630258,3,2,6.262010,13.729044,40.714259,8.256185,28.010005,0.307266,1.475005,1.159310,287,239630258,119815129,268647984,125431463,1,1.123045,none
9,1956151296,4148273152,2192121856,37.609562,0.461231,0.772298,0.844773,20.317460,239630258,119815129,239630258,119815129,239630258,3,2,6.272068,13.817215,40.671543,8.201298,26.887736,0.310089,1.492932,1.167744,287,239630258,119815129,268647984,125431463,1,1.132911,none
10,1956118528,4148273152,2192154624,37.673680,0.458841,0.774737,0.847458,20.274551,239630258,119815129,239630258,119815129,239630258,3,2,6.340124,13.894562,40.664767,8.274393,28.161094,0.316480,1.444043,1.160373,287,239630258,119815129,268647984,125431463,1,1.135164,none
